truth,detect1,detect2,detect3
es,es,es,es
es,es,af,fr
es,it,it,fi
es,no,ro,es
es,es,ca,es
en,en,no,it
es,es,es,es
es,es,pt,es
en,en,en,ko
en,en,ro,pt
en,de,de,en
nl,nl,de,nl
nl,nl,et,nl
es,it,es,es
es,it,ca,en
fr,es,fr,fi
fr,da,fr,en
es,tl,lt,es
pt,lt,it,en
es,es,pt,es
nl,de,nl,nl
fr,fr,ro,fr
es,tl,ro,es
es,ms,ca,si
es,no,it,la
es,no,it,la
es,es,es,es
es,pt,es,es
es,nl,en,de
fr,nl,nl,pt
en,sv,ca,ca
en,en,tl,en
es,it,en,sl
pt,xh,en,pt
en,en,en,en
it,it,it,it
pt,it,it,en
pt,it,it,en
pt,nn,es,pt
es,pt,ca,en
es,en,ca,fa
es,en,ca,es
es,es,es,en
es,it,it,pl
es,es,es,fr
es,et,et,en
es,de,id,es
es,es,it,ko
fr,fr,fr,en
fr,en,fr,fr
es,hu,hu,id
fr,en,fr,fr
es,es,da,es
es,es,da,es
en,en,fi,en
es,cs,de,en
es,es,da,es
es,es,da,es
es,es,pt,en
es,es,nl,it
es,lv,es,it
es,it,ca,en
es,sl,es,it
es,es,es,es
es,bs,pt,es
es,ga,es,es
es,en,no,pl
es,eo,pt,en
es,en,es,en
es,vi,pt,es
es,es,ca,en
es,es,pt,es
es,nn,id,gl
es,en,id,it
es,ca,es,es
es,es,es,es
es,nl,en,lv
pt,pl,id,es
es,xh,ro,en
es,xh,ca,en
es,es,es,zh
fr,it,en,eo
fr,it,en,de
es,fr,fr,fr
es,es,es,en
en,pt,ca,en
pt,es,it,fr
es,it,it,it
es,ms,sv,en
pt,pl,it,pt
es,es,fr,fr
it,it,sl,pt
en,pt,ca,fr
es,it,es,es
es,oc,en,es
es,oc,en,es
es,af,en,eo
es,ca,ca,es
fr,fr,fr,fr
es,it,it,en
es,es,fi,fr
es,es,es,es
en,en,en,en
fr,fr,fr,fr
pt,pt,pt,pt
pt,pt,es,pt
es,en,en,tl
es,en,en,zh
en,en,lv,en
en,en,no,en
en,en,lv,en
en,en,en,en
it,it,it,war
en,en,en,en
es,pt,pt,es
es,es,es,es
pt,ca,ca,pt
fr,en,en,oc
es,eo,ca,it
es,en,pt,pt
pt,en,pt,pt
es,lt,es,pt
fr,fr,fr,ko
es,de,fr,es
es,fr,id,en
fr,fr,fr,fr
es,it,it,it
es,es,es,es
it,en,it,en
es,es,es,es
es,de,en,en
es,en,sv,es
es,es,es,it
es,gl,pt,pt
es,gl,es,ca
pt,pt,pt,pt
en,es,et,it
en,en,tl,en
en,en,tl,en
es,lt,fi,pt
es,it,no,es
es,it,it,it
es,lt,lt,en
es,de,no,de
es,de,no,de
es,es,es,pt
es,it,es,es
es,en,en,it
es,eu,en,en
es,it,ca,ca
fr,nl,da,fr
es,es,es,es
es,es,es,es
en,en,ca,en
fr,fr,fr,fr
en,no,no,en
es,en,ca,en
es,es,ca,en
es,es,es,es
es,it,no,es
pt,es,en,en
en,nl,ro,en
es,es,pt,pt
fr,fr,ro,en
es,en,tl,en
es,lv,fi,en
es,en,sk,it
es,ms,ca,en
es,en,ro,en
es,fr,es,es
fr,fr,fr,fr
fr,fr,fr,no
fr,fr,fr,fr
fr,fr,fr,fr
es,de,en,es
es,rw,es,es
es,es,es,es
fr,fr,fr,en
es,en,en,ja
en,et,no,fr
es,ro,ro,pt
pt,pt,pt,pt
en,da,da,fr
en,it,af,en
es,it,pt,it
es,it,pt,gl
es,it,pt,gl
es,it,es,es
es,es,ca,en
es,es,es,es
es,de,ro,fi
fr,fr,fr,fr
es,ro,ro,de
pt,pt,ca,pt
it,en,it,zh
fr,ro,fr,en
en,fr,it,en
es,xh,ro,ca
nl,mt,af,en
fr,fr,en,war
fr,fr,fr,fr
es,es,es,es
es,en,it,pt
es,es,es,es
es,fi,it,es
es,it,en,es
es,it,it,en
fr,fr,fr,fr
fr,fr,fr,fr
fr,en,en,fr
fr,fr,af,fr
fr,et,ca,it
en,da,it,en
es,en,tl,en
fr,lv,fr,en
es,en,ca,eo
es,it,pt,it
fr,fr,it,it
fr,en,en,fr
fr,sk,sk,en
en,de,ca,en
es,it,it,it
en,en,en,en
fr,fr,ro,en
en,de,nl,en
en,zu,en,en
es,es,es,es
es,it,en,fr
es,es,es,es
es,de,de,eo
en,de,de,en
es,ro,it,gl
es,sl,ro,es
fr,mt,fr,en
fr,en,fr,fr
fr,br,fr,fr
pt,es,ca,oc
fr,fr,it,it
es,it,en,hu
nl,en,fr,en
fr,fr,ro,es
pt,it,it,it
es,nl,ca,es
es,es,pt,es
es,es,sk,nl
pt,it,ca,es
fr,fr,ca,fr
fr,lv,it,en
es,ro,ro,en
en,en,da,en
en,et,nl,en
fr,nl,it,es
en,en,en,en
nl,nl,nl,nl
pt,gl,pt,en
es,es,tl,es
en,en,tl,en
en,cy,en,en
pt,pt,pt,en
pt,pt,pt,en
en,en,sv,en
es,de,ca,ca
en,en,en,en
es,es,es,es
es,it,sk,en
de,fr,en,de
es,it,it,fr
es,es,ca,en
es,gl,es,en
pt,es,es,en
pt,pt,pt,fr
es,eo,ca,es
en,it,cy,it
fr,fr,fr,en
pt,es,fr,pt
es,en,ca,en
es,it,ca,ca
es,it,ca,ca
es,tl,tl,es
es,lv,en,en
es,es,it,pt
fr,fr,fr,fr
es,it,it,en
es,it,hr,es
es,it,ro,es
es,en,pt,pt
pt,et,ca,it
pt,pt,pt,pt
en,es,fr,en
en,en,en,en
es,en,ro,en
en,et,nl,en
es,sl,pl,es
pt,it,it,en
es,es,lt,it
es,de,en,en
es,es,es,es
fr,fr,nl,fr
nl,ga,en,de
en,es,sv,fr
en,nl,nl,nl
pt,en,it,en
fr,en,ro,en
fr,sv,fr,it
en,sv,af,en
pt,en,ro,en
es,gl,es,es
es,en,cy,en
en,en,fr,ko
fr,pl,fr,fr
fr,en,it,en
es,en,pt,pt
es,en,en,pl
en,de,so,no
fr,fr,fr,fr
en,pl,pl,en
fr,fr,fr,en
fr,ro,fr,fr
fr,fr,fr,fr
fr,ro,fr,en
es,en,ro,id
es,en,ro,es
es,it,cy,it
